coin,hour_ts,ts,mid,mark,oracle,premium,funding,oi,day_vlm
BTC,1785574800,1785578280.0,63041.5,63041.0,63070.0,-0.0004439512,1.0191e-05,34023.80436,1452889701.4431183
BTC,1785578400,1785581940.0,63020.5,63021.0,63051.0,-0.0004758053,6.3915e-06,34044.25408,1424128153.2486324
BTC,1785582000,1785582600.0,63017.5,63018.0,63045.4,-0.0004346074,5.0525e-06,34046.75252,1415320853.0290604
BTC,1785585600,,,,,,,,
BTC,1785589200,1785592680.0,63041.5,63041.0,63068.0,-0.0004122534,3.1064e-06,34127.00704,1113286171.4295785
BTC,1785592800,1785596280.0,63066.5,63067.0,63093.6,-0.0004089163,6.0397e-06,34209.32896,772936285.98467
BTC,1785596400,1785599880.0,63000.5,62996.0,63025.0,-0.0003808013,6.1025e-06,34236.0555,692055630.3964287
BTC,1785600000,1785603540.0,62884.5,62885.7,62914.9,-0.0004450456,7.3379e-06,34260.4909,576647393.6506231
BTC,1785603600,1785606360.0,62745.5,62746.0,62772.3,-0.0004189746,2.0926e-06,34824.27984,562703455.0547497
BTC,1785607200,1785610680.0,62537.5,62540.0,62570.0,-0.0005114272,2.672e-06,34913.18232,597123272.1968803
BTC,1785610800,1785614280.0,62505.5,62505.0,62536.0,-0.0004797237,8.686e-07,35062.57938,626774077.9702404
BTC,1785614400,1785614640.0,62522.5,62523.0,62554.0,-0.0004955718,1.9757e-06,35137.39462,631650072.9608209
BTC,1785618000,,,,,,,,
BTC,1785621600,,,,,,,,
BTC,1785625200,,,,,,,,
BTC,1785628800,,,,,,,,
BTC,1785632400,1785633780.0,62951.5,62959.0,62985.0,-0.0005239343,1.25e-05,34862.40928,710394453.5276113
BTC,1785636000,,,,,,,,
BTC,1785639600,,,,,,,,
BTC,1785643200,,,,,,,,
BTC,1785646800,1785649620.0,63412.5,63409.5,63430.4,-0.0002743164,1.25e-05,33658.2504,985501777.0914792
BTC,1785650400,,,,,,,,
BTC,1785654000,,,,,,,,
BTC,1785657600,1785661140.0,63149.5,63153.0,63180.0,-0.0002975625,1.25e-05,33548.1225,1038245132.47591
BTC,1785661200,1785664740.0,63253.5,63253.0,63274.0,-0.0003160856,1.25e-05,33590.30358,1058821505.2081804
BTC,1785664800,1785668340.0,63172.5,63173.0,63198.0,-0.0003955821,1.25e-05,33681.39482,1068742223.3989899
BTC,1785668400,1785671880.0,62987.5,62982.2,63007.0,-0.0003015538,1.25e-05,33595.0095599999,1094337518.1959484
BTC,1785672000,1785675480.0,63097.5,63098.0,63120.9,-0.0003627958,1.25e-05,33657.9477,1124978157.7223177
BTC,1785675600,1785679140.0,63098.5,63098.0,63118.6,-0.0003105265,1.25e-05,33645.31274,1142361321.594129
BTC,1785679200,1785682740.0,63047.5,63048.0,63071.0,-0.0003646684,1.25e-05,33685.32386,1152108690.385819
BTC,1785682800,1785686280.0,63102.5,63096.0,63109.1,-9.6658e-05,1.25e-05,33725.8100599999,1164016462.5361598
BTC,1785686400,1785689880.0,63178.5,63178.0,63194.0,-0.0002373643,1.25e-05,34139.52138,1168558992.2823007
BTC,1785690000,1785693540.0,63296.5,63296.0,63314.0,-0.000268503,1.25e-05,34121.66952,1114114564.7403977
BTC,1785693600,1785697140.0,63361.5,63361.0,63382.1,-0.0003171242,1.25e-05,33791.7933,1006624772.5990676
BTC,1785697200,1785700680.0,63428.5,63428.0,63450.0,-0.0003309693,1.25e-05,33693.86458,987993566.9719294
BTC,1785700800,1785704340.0,63483.5,63486.0,63500.0,-0.0002519685,1.25e-05,33768.7678,968073657.1446202
BTC,1785704400,1785706560.0,63565.5,63566.0,63572.3,-9.90998e-05,1.25e-05,34105.45902,929897962.6582898
BTC,1785708000,,,,,,,,
BTC,1785711600,,,,,,,,
BTC,1785715200,,,,,,,,
BTC,1785718800,1785720300.0,63218.5,63218.0,63239.1,-0.0003178413,1.25e-05,35501.24794,1131820343.9077296
BTC,1785722400,,,,,,,,
BTC,1785726000,,,,,,,,
BTC,1785729600,,,,,,,,
BTC,1785733200,1785736260.0,62818.5,62818.0,62832.0,-0.0002069009,1.25e-05,35681.10032,971375811.7246095
BTC,1785736800,,,,,,,,
BTC,1785740400,1785740760.0,62613.5,62613.0,62636.4,-0.0003448474,1.25e-05,35412.39708,995049600.0153894
BTC,1785744000,,,,,,,,
BTC,1785747600,,,,,,,,
BTC,1785751200,,,,,,,,
BTC,1785754800,,,,,,,,
BTC,1785758400,,,,,,,,
BTC,1785762000,,,,,,,,
BTC,1785765600,,,,,,,,
BTC,1785769200,,,,,,,,
BTC,1785772800,,,,,,,,
BTC,1785776400,,,,,,,,
BTC,1785780000,,,,,,,,
BTC,1785783600,,,,,,,,
BTC,1785787200,,,,,,,,
BTC,1785790800,,,,,,,,
BTC,1785794400,,,,,,,,
BTC,1785798000,,,,,,,,
BTC,1785801600,,,,,,,,
BTC,1785805200,,,,,,,,
BTC,1785808800,,,,,,,,
BTC,1785812400,,,,,,,,
BTC,1785816000,,,,,,,,
BTC,1785819600,,,,,,,,
BTC,1785823200,,,,,,,,
BTC,1785826800,,,,,,,,
BTC,1785830400,,,,,,,,
BTC,1785834000,,,,,,,,
BTC,1785837600,,,,,,,,
BTC,1785841200,,,,,,,,
BTC,1785844800,,,,,,,,
BTC,1785848400,,,,,,,,
BTC,1785852000,,,,,,,,
BTC,1785855600,,,,,,,,
BTC,1785859200,,,,,,,,
BTC,1785862800,,,,,,,,
BTC,1785866400,1785869880.0,64267.5,64267.5,64300.4,-0.0004634497,-7.824e-07,33178.61706,1638977504.6597688
BTC,1785870000,1785873540.0,64259.5,64259.0,64286.9,-0.0004184367,2.7585e-06,33135.75908,1624588945.86297
BTC,1785873600,1785874860.0,64032.5,64029.0,64057.4,-0.0003809084,7.8241e-06,33057.601,1611712525.2103004
BTC,1785877200,1785880740.0,64165.5,64165.0,64194.0,-0.0004361778,2.5437e-06,33025.46872,1639842489.1525671
BTC,1785880800,1785884340.0,64245.5,64242.1,64270.4,-0.000379646,7.1723e-06,33071.2295,1621426294.0150764
BTC,1785884400,1785887940.0,64072.5,64072.0,64108.0,-0.0005459537,-4.7507e-06,35383.53444,1765191587.5956757
BTC,1785888000,1785891480.0,63989.5,63990.0,64021.0,-0.0004842161,-6.5599e-06,35755.03576,1828779846.5457308
BTC,1785891600,1785895140.0,64308.5,64309.9,64341.6,-0.0005051164,1.05233e-05,34824.29474,1814545059.4115505
BTC,1785895200,1785898740.0,64359.5,64355.1,64385.0,-0.0003882892,5.7502e-06,35266.56642,1833033470.516629
BTC,1785898800,1785902340.0,64150.5,64149.0,64178.0,-0.0004207049,5.1867e-06,35118.2310999999,1846511742.8905094
BTC,1785902400,1785905880.0,64146.5,64147.0,64177.0,-0.0004674572,7.5842e-06,34963.93322,1663886838.3817797
BTC,1785906000,1785909540.0,64329.5,64330.0,64359.1,-0.0004521505,8.8928e-06,35090.69174,1651424186.1658392
BTC,1785909600,1785913140.0,64227.5,64227.0,64257.2,-0.0004544238,3.8723e-06,34911.49184,1630136388.7326987
BTC,1785913200,1785916740.0,64123.5,64122.0,64148.0,-0.0003741348,4.8067e-06,34951.34532,1652212762.8515854
BTC,1785916800,1785920340.0,64092.5,64092.0,64116.6,-0.0003680794,1.01208e-05,35178.37206,1677802985.2429533
BTC,1785920400,1785923880.0,64135.5,64125.3,64151.0,-0.0002338233,1.25e-05,35184.21234,1645117481.786414
BTC,1785924000,1785927540.0,64033.5,64035.0,64066.5,-0.0005072854,2.264e-07,35273.98808,1611732966.3424633
BTC,1785927600,1785931140.0,64041.5,64042.0,64076.0,-0.0005306199,1.0372e-06,34897.5444799999,1623603660.9822087
BTC,1785931200,1785934740.0,64316.5,64317.0,64356.0,-0.0006060041,-6.7072e-06,35546.9016,1692573697.2661097
BTC,1785934800,1785938340.0,64343.5,64351.0,64382.0,-0.0005902271,2.9919e-06,34391.8660399999,1781081812.7709408
BTC,1785938400,1785941940.0,64443.5,64445.9,64480.0,-0.0005583127,-4.6763e-06,35062.1967400001,1783599578.7944505
BTC,1785942000,1785945540.0,64355.5,64355.0,64389.5,-0.0005202712,-5.2944e-06,34999.76922,1855799686.6935856
BTC,1785945600,1785949140.0,64653.5,64653.9,64684.1,-0.0004653385,1.3241e-06,35126.45926,1928378946.1907053
BTC,1785949200,1785952740.0,64742.5,64742.0,64784.0,-0.0006328723,-1.555e-06,35693.58906,1953153393.9589417
BTC,1785952800,1785956280.0,64756.5,64756.0,64785.4,-0.0004383704,6.583e-06,35003.3984400001,1915806236.4701183
BTC,1785956400,1785959940.0,64864.5,64866.0,64904.0,-0.0006008875,4.1622e-06,35431.19506,1951413715.9521022
BTC,1785960000,1785963480.0,64798.5,64804.0,64840.8,-0.0006446558,2.2702e-06,34970.9146,1974050439.3088331
BTC,1785963600,1785967080.0,64702.5,64702.1,64736.1,-0.0003738254,-6.35e-08,34729.5035199999,1996767101.6224
BTC,1785967200,1785970740.0,64604.5,64607.0,64642.6,-0.0005816598,-1.1769e-06,35105.45026,1991892732.494815
BTC,1785970800,1785974340.0,64624.5,64625.0,64660.4,-0.0005474757,-5.881e-07,35151.80662,1858371189.6515408
BTC,1785974400,1785977880.0,64660.5,64660.0,64687.0,-0.0004019355,1.05061e-05,35126.05166,1794007740.1810195
BTC,1785978000,1785981480.0,64572.5,64572.0,64597.0,-0.0003715343,1.25e-05,34843.71224,1703226328.8694105
BTC,1785981600,1785985080.0,64543.5,64543.0,64570.0,-0.0003995664,9.9644e-06,34864.25762,1659218369.673999
BTC,1785985200,1785988680.0,64511.5,64507.0,64538.8,-0.0003749682,1.14565e-05,34861.33734,1638619419.8604712
BTC,1785988800,1785992280.0,64685.5,64685.0,64713.1,-0.0004187715,1.25e-05,34881.8563,1644699477.4711084
BTC,1785992400,1785995940.0,64859.5,64860.0,64893.0,-0.0005085294,4.6485e-06,34966.01912,1658108297.636928
BTC,1785996000,1785999540.0,64807.5,64812.0,64845.8,-0.0005443683,5.1665e-06,35087.38316,1651366765.8438303
BTC,1785999600,1786003140.0,64783.5,64784.3,64824.0,-0.0006170554,-3.4838e-06,35872.42576,1636948686.2644894
BTC,1786003200,1786006740.0,64911.5,64912.0,64946.0,-0.0005235118,-1.05769e-05,35975.58948,1605046055.7405083
BTC,1786006800,1786010340.0,64653.5,64653.0,64688.1,-0.0005271449,-5.8685e-06,35841.22,1628144877.31755
BTC,1786010400,1786013940.0,64576.5,64576.0,64612.0,-0.000541695,-8.9325e-06,35739.53714,1604937731.3780894
BTC,1786014000,1786017540.0,64597.5,64596.1,64626.0,-0.0004332622,1.5196e-06,35728.40106,1607038996.8906875
BTC,1786017600,1786021140.0,64393.5,64400.0,64434.9,-0.0006347492,6.3833e-06,35730.88816,1534465723.3065372
BTC,1786021200,1786024740.0,64472.5,64468.0,64496.0,-0.0002961424,1.23646e-05,35928.0704,1509046667.259537
BTC,1786024800,1786028340.0,64772.5,64778.8,64812.6,-0.0006109923,2.8726e-06,35826.56748,1443756705.046661
BTC,1786028400,1786031880.0,64629.5,64630.0,64664.8,-0.0005381599,7.483e-07,35417.73586,1403962179.5712724
BTC,1786032000,1786035480.0,64715.5,64716.0,64744.0,-0.0004324725,7.1979e-06,35198.22778,1335119594.3760188
BTC,1786035600,1786039140.0,64600.5,64606.6,64641.1,-0.0006203484,1.1984e-06,35323.54902,1297243272.0523803
BTC,1786039200,1786042740.0,64390.5,64390.0,64425.0,-0.0005277454,3.3893e-06,35102.7124199999,1296855604.259366
BTC,1786042800,1786046280.0,64422.5,64418.0,64450.1,-0.0004204803,4.2577e-06,35464.9899199999,1227639799.7135391
BTC,1786046400,1786049940.0,64406.5,64409.0,64442.0,-0.000543124,8.3812e-06,35024.66958,1175788725.6807704
BTC,1786050000,1786053540.0,64410.5,64410.0,64436.4,-0.0003941871,3.9717e-06,34951.6911,1142767596.5140994
BTC,1786053600,1786057140.0,64319.5,64320.0,64352.2,-0.0005003714,5.8556e-06,34984.73814,1132812198.8839507
BTC,1786057200,1786060740.0,64285.5,64286.0,64313.2,-0.0004229303,6.6683e-06,35317.6507,1146046798.2370121
BTC,1786060800,1786064340.0,64274.5,64275.0,64305.1,-0.0004680811,6.6803e-06,35348.07262,1136026981.4049315
BTC,1786064400,1786067880.0,64394.5,64397.0,64429.6,-0.0005370203,6.4343e-06,35275.94934,1112224929.1157088
BTC,1786068000,1786071540.0,64361.5,64362.0,64397.0,-0.0004860475,9.7628e-06,35178.57696,1119733275.9890208
BTC,1786071600,1786075080.0,64260.5,64264.0,64293.6,-0.0004370575,8.4731e-06,35001.44466,1131544745.458942
BTC,1786075200,1786078740.0,64221.5,64220.2,64249.0,-0.0003439742,1.25e-05,35181.45782,1141323720.1320357
BTC,1786078800,1786082340.0,64321.5,64322.0,64352.0,-0.000466186,6.2202e-06,35064.4024,1111603263.4107301
BTC,1786082400,1786085940.0,64301.5,64301.0,64336.7,-0.00053935,4.6616e-06,35134.77008,1116024923.4195888
BTC,1786086000,1786089540.0,64294.5,64294.7,64326.0,-0.0004819202,5.3801e-06,35140.06632,1079914622.4037817
BTC,1786089600,1786093140.0,64555.5,64556.0,64587.0,-0.0004799727,4.7837e-06,35097.58584,1117285342.7907524
BTC,1786093200,1786096740.0,64789.5,64789.6,64831.0,-0.0005275254,-4.4289e-06,35547.9271799999,1142844701.166909
BTC,1786096800,1786100340.0,64858.5,64859.0,64893.3,-0.00052856,-1.00632e-05,35766.12096,1153383586.7762237
BTC,1786100400,1786103880.0,64989.5,64990.0,65018.3,-0.0004352621,6.378e-07,35455.0108199999,1234048143.1441095
BTC,1786104000,1786107480.0,65239.5,65246.0,65282.0,-0.0006433626,-3.4616e-06,35525.8319,1345698220.8969686
BTC,1786107600,1786111080.0,65014.5,65014.0,65046.0,-0.0004765858,-7.8562e-06,35517.3063999999,1306057080.5555706
BTC,1786111200,1786114740.0,64956.5,64956.0,64988.0,-0.0004770111,2.1644e-06,35743.96196,1372353996.5085485
BTC,1786114800,1786118340.0,64903.5,64904.0,64936.8,-0.0005051065,4.8352e-06,35718.40068,1302414886.1401906
BTC,1786118400,1786121940.0,64805.5,64809.0,64843.9,-0.0005844806,2.9003e-06,35628.57862,1293454076.8025997
BTC,1786122000,1786125540.0,64734.5,64730.0,64752.1,-0.0002640841,7.5198e-06,34974.5601,1364802122.5716987
BTC,1786125600,1786129140.0,64679.5,64680.0,64710.1,-0.0004651515,1.7878e-06,35081.54108,1359161575.729458
BTC,1786129200,1786131540.0,64935.5,64935.0,64968.0,-0.0004925502,3.127e-06,35026.29694,1357487544.3006692
BTC,1786132800,1786136340.0,64940.5,64941.5,64972.6,-0.0004863589,-3.2503e-06,35175.96234,1337527716.0215743
BTC,1786136400,1786139940.0,64894.5,64895.0,64938.0,-0.0006621701,-2.5755e-06,35065.06098,1341555141.3399112
BTC,1786140000,1786143540.0,64844.5,64845.0,64878.0,-0.000508647,-6.3512e-06,34990.23842,1338683825.3693092
BTC,1786143600,1786147080.0,64882.5,64883.0,64915.0,-0.0004929523,-3.631e-06,34960.60992,1302958855.7644596
BTC,1786147200,1786150740.0,64881.5,64881.0,64915.0,-0.0005083571,-2.6419e-06,34844.8184799999,1299853816.2575426
BTC,1786150800,1786154340.0,64885.5,64886.7,64919.6,-0.0005175633,-7.242e-07,34836.1107399999,1293538308.5444598
BTC,1786154400,1786157940.0,64886.5,64887.0,64921.1,-0.000525253,-7.654e-07,34862.60574,1262274778.4129908
BTC,1786158000,1786161540.0,64997.5,64997.0,65026.0,-0.0004198321,3.4985e-06,34834.74596,1248605442.682049
BTC,1786161600,1786165140.0,64967.5,64968.0,65000.0,-0.0004923077,8.066e-06,34830.32754,1229430579.7698789
BTC,1786165200,1786168740.0,64961.5,64961.0,64991.0,-0.0004462156,4.4023e-06,34817.63152,1216389490.7316287
BTC,1786168800,1786172340.0,64975.5,64976.0,65006.0,-0.0004614959,7.6262e-06,34787.70236,1201712529.8912873
BTC,1786172400,1786175880.0,64924.5,64925.0,64960.0,-0.0005387931,2.026e-06,34822.64574,1187874126.825658
BTC,1786176000,1786179540.0,64960.5,64960.0,64989.0,-0.0004308421,7.2033e-06,34794.43504,1132774996.9564393
BTC,1786179600,1786183080.0,64959.5,64960.0,64990.7,-0.0004723753,5.671e-06,34789.38502,1078135251.40376
BTC,1786183200,1786186740.0,64984.5,64985.0,65012.0,-0.0004153079,7.2091e-06,34809.8165799999,1055053526.4654212
BTC,1786186800,1786190280.0,64935.5,64936.0,64965.0,-0.0004463942,1.5774e-06,34866.32116,937229125.6383201
BTC,1786190400,1786193880.0,64973.5,64975.5,65009.1,-0.0005399244,2.29e-07,34947.49098,780533507.2089195
BTC,1786194000,1786197480.0,64986.5,64985.0,65015.1,-0.0004322073,3.5345e-06,34945.80272,673314307.3600307
BTC,1786197600,1786201140.0,65108.5,65104.4,65132.0,-0.000353129,1.0188e-05,34407.5655800002,588972483.7914984
BTC,1786201200,1786204680.0,65070.5,65069.0,65094.0,-0.0003533352,1.15314e-05,34333.14382,581649173.2744703
BTC,1786204800,1786208340.0,65060.5,65060.0,65084.9,-0.000354921,1.25e-05,34390.14856,570033347.3087618
BTC,1786208400,1786211940.0,65087.5,65088.0,65117.0,-0.0004453522,1.25e-05,34414.59948,490936607.8413199
BTC,1786212000,1786215540.0,65013.5,65014.0,65046.9,-0.0005057889,8.0969e-06,34339.69214,437740815.49294037
BTC,1786215600,1786219140.0,65053.5,65053.0,65083.9,-0.000459407,5.342e-07,34545.24786,405642920.5181207
BTC,1786219200,1786222740.0,65046.5,65046.0,65082.0,-0.0005377831,8.738e-07,34584.60702,409854728.34565955
BTC,1786222800,1786226340.0,64982.5,64983.0,65011.4,-0.0004368465,9.807e-07,34597.06526,395145877.92153966
BTC,1786226400,1786229940.0,64918.5,64918.7,64952.0,-0.0005080675,-4.6455e-06,34650.07238,392158434.59304994
BTC,1786230000,1786233480.0,64932.5,64929.0,64957.0,-0.0003694752,5.5339e-06,34568.25216,398469818.66942036
BTC,1786233600,1786237140.0,64945.5,64946.0,64977.0,-0.0004770919,4.6462e-06,34543.36858,388411061.4989196
BTC,1786237200,1786240740.0,64842.5,64843.0,64872.4,-0.0004531974,7.7317e-06,34552.46168,400365128.9649999
BTC,1786240800,1786244280.0,64791.5,64791.0,64819.4,-0.000422713,5.9743e-06,34509.54118,400910727.2956903
BTC,1786244400,1786247940.0,64759.5,64759.0,64788.4,-0.0004383501,6.9878e-06,34502.63278,404798900.4040596
BTC,1786248000,1786251540.0,64756.5,64757.0,64785.0,-0.0004321988,7.5777e-06,34491.0679799999,395867446.7416808
BTC,1786251600,1786255140.0,64765.5,64766.0,64791.1,-0.0003873989,8.0328e-06,34494.41936,390392117.31888
BTC,1786255200,1786258740.0,64827.5,64825.0,64858.0,-0.000462549,6.4235e-06,34473.51818,387634884.17765975
BTC,1786258800,1786262280.0,64796.5,64796.0,64826.1,-0.0004488933,3.75e-06,34493.10722,384685349.71623987
BTC,1786262400,1786265940.0,64789.5,64790.0,64822.0,-0.0004936596,4.5768e-06,34396.41862,395166478.36716014
BTC,1786266000,1786269540.0,64832.5,64833.0,64852.4,-0.0002991408,1.25e-05,34374.48382,404993947.0249599
BTC,1786269600,1786273080.0,64933.5,64934.0,64967.3,-0.0005125656,7.7841e-06,34396.65342,414566637.43679976
BTC,1786273200,1786276740.0,64933.5,64933.0,64963.0,-0.000446408,1.23717e-05,34370.32726,413834373.98585993
BTC,1786276800,1786280340.0,64917.5,64919.0,64955.0,-0.0005696251,3.0953e-06,34395.3528799999,409382843.53209007
BTC,1786280400,1786283880.0,65191.5,65191.0,65220.0,-0.0004293162,8.7299e-06,34257.2151,467572556.1986308
BTC,1786284000,1786287540.0,65259.5,65260.0,65290.0,-0.0004594884,5.1566e-06,34349.4396,457785194.29209083
BTC,1786287600,1786291080.0,65197.5,65197.0,65229.0,-0.0004752487,-1.7319e-06,34427.98638,460343122.9078707
BTC,1786291200,1786294740.0,65199.5,65202.0,65235.0,-0.0005365218,5.8754e-06,34618.07382,472709576.9324991
BTC,1786294800,1786298280.0,65161.5,65164.0,65198.9,-0.0005659605,-1.8374e-06,34591.17846,467202005.2937306
BTC,1786298400,1786301880.0,65161.5,65164.7,65197.0,-0.0005368345,-3.468e-06,34690.89934,462847778.58993024
BTC,1786302000,1786305480.0,65158.5,65159.0,65189.0,-0.0004602003,7.2701e-06,34722.41566,459036509.67562026
BTC,1786305600,1786309140.0,65105.5,65106.0,65138.3,-0.000495868,1.26e-06,34849.74486,473552950.65887946
BTC,1786309200,1786312740.0,65173.5,65174.6,65202.6,-0.0004386328,8.899e-06,34526.94764,495971833.23711956
BTC,1786312800,1786316340.0,65054.5,65056.0,65086.7,-0.0004870427,8.3399e-06,34208.90754,600196056.8350387
BTC,1786316400,1786319880.0,64851.5,64852.0,64883.0,-0.0004777831,4.4765e-06,34547.42358,644200217.5541998
BTC,1786320000,1786323480.0,64965.5,64966.0,64999.0,-0.0005077001,6.2399e-06,33982.29808,782873011.7297707
BTC,1786323600,1786327140.0,65167.5,65171.0,65195.8,-0.0004264078,8.487e-06,34182.90544,825324682.9748604
BTC,1786327200,1786330740.0,65076.5,65075.0,65101.4,-0.0003747999,1.00536e-05,33931.1491,854608256.0634103
BTC,1786330800,1786334340.0,64941.5,64941.9,64969.9,-0.0004294296,9.3208e-06,34070.0833,877459813.9822
BTC,1786334400,1786337940.0,64969.5,64969.0,64992.0,-0.0003385032,1.25e-05,34274.10756,894647668.0984715
BTC,1786338000,1786341480.0,65104.5,65106.0,65138.9,-0.0005204264,1.25e-05,34730.43112,917518467.9502108
BTC,1786341600,1786345140.0,65263.5,65263.0,65297.0,-0.0005053831,5.437e-06,34641.46018,926305863.6988701
BTC,1786345200,1786348680.0,65177.5,65177.0,65203.6,-0.0003926164,1.14316e-05,34339.57754,957757859.2889501
BTC,1786348800,1786352280.0,65231.5,65232.0,65258.4,-0.0004045456,9.5465e-06,34388.7938,956540055.618609
BTC,1786352400,1786355940.0,64945.5,64945.0,64971.7,-0.0003955568,1.25e-05,34408.1948,959502775.5706811
BTC,1786356000,1786359540.0,64985.5,64986.0,65013.0,-0.0004153016,1.25e-05,34453.469,964200036.4928088
BTC,1786359600,1786363140.0,65106.5,65105.7,65127.0,-0.0003070923,1.25e-05,34479.95604,974460392.3254611
BTC,1786363200,1786366740.0,64872.5,64870.3,64890.1,-0.0002635225,1.25e-05,34282.8300199999,1027975839.9675422
BTC,1786366800,1786370340.0,64576.5,64577.0,64600.0,-0.0003560372,1.25e-05,34488.1168,1089699703.8348095
BTC,1786370400,1786373940.0,64599.5,64597.0,64619.4,-0.0003002194,1.25e-05,34292.87308,1156674680.6342223
BTC,1786374000,1786377540.0,64263.5,64261.0,64283.0,-0.000295568,1.25e-05,36007.3306599999,1370868808.186602
BTC,1786377600,1786381080.0,63829.5,63829.0,63852.0,-0.0003445468,1.25e-05,36971.9081999999,1546306219.549243
BTC,1786381200,1786384680.0,63916.5,63915.0,63935.0,-0.0002815359,1.25e-05,37542.99442,1648744722.7158613
BTC,1786384800,1786388340.0,63893.5,63893.0,63913.0,-0.0002972791,1.25e-05,37772.14092,1689860855.4266522
BTC,1786388400,1786391880.0,64012.5,64012.0,64026.0,-0.0002030425,1.25e-05,39387.86558,1771054253.171054
BTC,1786392000,1786395540.0,64148.5,64148.0,64161.0,-0.0001870295,1.25e-05,39650.3152799999,1788197335.8050535
BTC,1786395600,1786399140.0,63982.5,63983.0,64004.0,-0.0003281045,1.25e-05,38955.43626,1790579526.192482
BTC,1786399200,1786402740.0,63990.5,63989.0,64006.0,-0.000234353,1.25e-05,38901.49274,1699038130.0807698
BTC,1786402800,1786406340.0,63951.5,63951.0,63974.0,-0.0003438897,1.25e-05,38738.0975,1662344045.203302
BTC,1786406400,1786409880.0,64030.5,64025.0,64043.0,-0.0001873741,1.25e-05,38920.01518,1536038762.61759
BTC,1786410000,1786413540.0,64060.5,64055.0,64073.3,-0.0001919676,1.25e-05,38929.81896,1511342219.881959
BTC,1786413600,1786417140.0,64025.5,64025.0,64048.0,-0.0003434924,1.25e-05,38784.3966,1484555570.41434
BTC,1786417200,1786420740.0,64120.5,64121.0,64142.9,-0.000327394,1.25e-05,38786.70328,1460626007.97445
BTC,1786420800,1786424340.0,64022.5,64022.0,64038.0,-0.0002342359,1.25e-05,38798.9645599999,1458327785.4132302
BTC,1786424400,1786427940.0,63994.5,63995.0,64008.0,-0.0002030996,1.25e-05,38843.45506,1459190614.7809777
BTC,1786428000,1786431480.0,63926.5,63926.0,63945.0,-0.0002814919,1.25e-05,38847.35298,1465545827.9034202
BTC,1786431600,1786435140.0,64032.5,64033.0,64052.0,-0.000296634,1.25e-05,38849.90984,1456232578.1460712
BTC,1786435200,1786438740.0,64117.5,64114.0,64136.4,-0.0002868886,1.25e-05,38438.29976,1471985327.2740405
BTC,1786438800,1786442340.0,64259.5,64256.0,64285.9,-0.0004028877,1.25e-05,38292.4748,1478275066.012903
BTC,1786442400,1786445880.0,64209.5,64209.0,64235.6,-0.0003985329,9.0252e-06,37480.6653,1510233841.3776412
BTC,1786446000,1786449540.0,64372.5,64372.0,64398.0,-0.0003882108,7.5122e-06,37595.6376,1520152337.5583577
BTC,1786449600,1786453140.0,64298.5,64298.0,64330.4,-0.0004881052,1.1595e-06,37174.18818,1517063481.189381
BTC,1786453200,1786456740.0,64141.5,64141.0,64167.1,-0.0003911662,4.7123e-06,37188.8296,1464415512.5874667
BTC,1786456800,1786460340.0,63712.5,63713.0,63738.9,-0.0004063453,1.25e-05,37203.37898,1484552996.6470368
BTC,1786460400,1786463940.0,63594.5,63594.4,63620.0,-0.0003929582,1.12151e-05,38170.2630399999,1420753586.914837
BTC,1786464000,1786467480.0,63487.5,63488.0,63514.0,-0.0004093586,9.8275e-06,38907.8241599999,1277782570.7663646
BTC,1786467600,1786467600.0,63487.5,63488.0,63512.0,-0.0003778813,9.8951e-06,38927.7959199998,1280138941.1732697
BTC,1786471200,1786474740.0,63344.5,63345.0,63373.1,-0.0004434058,6.8689e-06,39211.95764,1251349984.0927627
BTC,1786474800,1786478340.0,63499.5,63500.0,63529.0,-0.0004564844,2.8588e-06,39155.0163,1213250500.4617536
BTC,1786478400,1786481940.0,63703.5,63704.0,63734.1,-0.0004722747,3.7583e-06,39171.54508,1224434844.751021
BTC,1786482000,1786485540.0,63642.5,63643.0,63679.5,-0.0005731829,-2.395e-07,39480.309,1225120031.3330407
BTC,1786485600,1786489140.0,63636.5,63636.0,63668.1,-0.0004884707,9.864e-07,39368.38172,1229894005.525985
BTC,1786489200,1786492740.0,63569.5,63570.0,63604.0,-0.0005345576,1.8679e-06,39456.5390399999,1230206583.6692793
BTC,1786492800,1786496340.0,63714.5,63717.0,63742.0,-0.000411032,9.641e-06,39624.22108,1252132244.6856565
BTC,1786496400,1786499940.0,63781.5,63780.4,63811.0,-0.0004544671,1.25e-05,39678.7704799999,1252138532.8388932
BTC,1786500000,1786501500.0,63776.5,63777.0,63805.4,-0.000430998,1.0583e-05,39656.67018,1254538491.96757
BTC,1786503600,,,,,,,,
BTC,1786507200,,,,,,,,
BTC,1786510800,,,,,,,,
BTC,1786514400,,,,,,,,
BTC,1786518000,,,,,,,,
BTC,1786521600,1786525080.0,63759.5,63760.0,63792.3,-0.0005063307,3.0772e-06,38762.91668,1321310016.955586
BTC,1786525200,1786528740.0,64072.5,64070.0,64099.0,-0.0004056226,5.7955e-06,39270.52754,1416849859.9524615
BTC,1786528800,1786532340.0,64120.5,64117.0,64143.4,-0.0003492175,1.25e-05,38510.1161999999,1445094651.2427468
BTC,1786532400,1786535880.0,64205.5,64203.0,64231.4,-0.0003954452,9.8613e-06,38271.91354,1440290838.073268
